gov-unnamed-3-party,gov-unnamed-1-seats,gov-Utbildningsminister-name,gov-Utbildningsminister-party,gov-Finansminister-name,seatsInParliament-FP,gov-Statsminister-name,seatsInParliament-M,seatsInParliament-S,LKFV,seatsInParliament-V,seatsInParliament-SD,gov-Utrikesminister-name,gov-unnamed-0-seats,seatsInParliament-C,gov-unnamed-1-party,gov-Finansminister-party,gov-unnamed-3-seats,gov-unnamed-0-party,gov-unnamed-2-party,gov-Statsminister-party,gov-unnamed-2-seats,VDNAMN,seatsInParliament-MP,gov-Utrikesminister-party,seatsInParliament-KD,seatsInParliament-PP,seatsInParliament-SPI,seatsInParliament-OVR
C,3,Ulrika Carlsson,C,Anders Wijkman,33,Fredrik Reinfeldt,111,95,01140101,22,18,Cecilia Wikström,11,16,FP,KD,1,M,KD,M,1,Övra Runby,36,FP,18,,,
C,2,Ulrika Carlsson,C,Anders Wijkman,30,Fredrik Reinfeldt,129,81,01140102,19,22,Cecilia Wikström,12,19,FP,KD,1,M,KD,M,1,Mälaren,34,FP,15,,,
,2,Ibrahim Baylan,S,Ulla Andersson,22,Stefan Löfven,118,122,01140120,25,22,Bodil Ceballos,11,,V,V,,S,MP,S,3,Edssjön,40,MP,,,,
KD,9,Göran Hägglund,KD,Birgitta Olsson,38,Fredrik Reinfeldt,113,95,01140121,24,16,Bodil Ceballos,3,,M,FP,1,MP,FP,M,3,Nedra Runby,44,MP,19,,,
KD,12,Göran Hägglund,KD,Birgitta Olsson,25,Fredrik Reinfeldt,125,111,01140203,16,20,Bodil Ceballos,2,,M,FP,1,MP,FP,M,1,Folkparken,33,MP,19,,,
,2,Jan Björklund,FP,Anders Borg,31,Fredrik Reinfeldt,144,87,01140204,,25,Cecilia Wikström,14,19,FP,M,,M,,M,,Fysingen,16,FP,27,,,
KD,12,Göran Hägglund,KD,Åsa Romson,29,Fredrik Reinfeldt,121,107,01140205,21,25,Cecilia Wikström,1,,M,MP,1,MP,FP,M,2,Vilunda,23,FP,23,,,
,2,Ibrahim Baylan,S,Åsa Romson,22,Stefan Löfven,95,137,01140206,32,21,Hans Linde,12,,V,MP,,S,MP,S,2,Apoteksskogen,24,V,18,,,
,,Tomas Tobé,M,Anders Borg,33,Fredrik Reinfeldt,181,74,01140207,,,Carl Bildt,16,17,,M,,M,,M,,Johannesdal,18,M,26,,,
,,Ibrahim Baylan,S,Magdalena Andersson,18,Stefan Löfven,61,185,01140208,31,18,Jan Eliasson,16,,,S,,S,,S,,Centrum,21,S,15,,,
,2,Mats Pertoft,MP,Magdalena Andersson,20,Stefan Löfven,75,156,01140209,34,30,Bodil Ceballos,14,,MP,S,,S,,S,,Smedby Norra,34,MP,,,,
,1,Ibrahim Baylan,S,Ulla Andersson,29,Stefan Löfven,98,141,01140210,24,17,Bodil Ceballos,13,,V,V,,S,MP,S,2,Väsbyskogen,25,MP,15,,,
,3,Tomas Tobé,M,Anders Wijkman,33,Fredrik Reinfeldt,136,102,01140211,19,18,Cecilia Wikström,12,,FP,KD,,M,KD,M,1,Skälby,22,FP,19,,,
,2,Ibrahim Baylan,S,Åsa Romson,18,Stefan Löfven,101,140,01140212,25,20,Hans Linde,12,,V,MP,,S,MP,S,2,Smedby Södra,26,V,19,,,
,2,Tomas Tobé,M,Anders Wijkman,30,Fredrik Reinfeldt,121,105,01140218,25,,Cecilia Wikström,12,18,FP,KD,,M,KD,M,2,Korpkulla,25,FP,25,,,
,2,Tomas Tobé,M,Anders Wijkman,29,Fredrik Reinfeldt,143,88,01140223,20,22,Cecilia Wikström,13,,FP,KD,,M,KD,M,1,Brunnby,29,FP,18,,,
,,Tomas Tobé,M,Anders Borg,34,Fredrik Reinfeldt,186,69,01140313,,,Carl Bildt,16,17,,M,,M,,M,,Odenslunda,21,M,22,,,
,,Tomas Tobé,M,Anders Borg,48,Fredrik Reinfeldt,192,35,01140314,,15,Carl Bildt,16,29,,M,,M,,M,,Norrviken,,M,30,,,
,2,Jan Björklund,FP,Anders Borg,37,Fredrik Reinfeldt,170,83,01140315,,,Cecilia Wikström,14,19,FP,M,,M,,M,,Sjukyrkoberget,17,FP,23,,,
,2,Jan Björklund,FP,Anders Borg,36,Fredrik Reinfeldt,162,72,01140316,,16,Cecilia Wikström,14,15,FP,M,,M,,M,,Grimstaby,26,FP,22,,,
,,Tomas Tobé,M,Anders Borg,30,Fredrik Reinfeldt,177,60,01140317,,16,Carl Bildt,16,19,,M,,M,,M,,Gamla Bollstanäs,23,M,24,,,
,,Tomas Tobé,M,Anders Borg,39,Fredrik Reinfeldt,187,57,01140322,,,Carl Bildt,16,24,,M,,M,,M,,Fresta,17,M,25,,,
,,Tomas Tobé,M,Anders Borg,40,Fredrik Reinfeldt,207,40,01150101,,,Carl Bildt,16,31,,M,,M,,M,,1 Vallentuna västra,,M,31,,,
,1,Jan Björklund,FP,Anders Borg,32,Fredrik Reinfeldt,169,55,01150102,,,Cecilia Wikström,15,46,FP,M,,M,,M,,2 Markim-Orkesta-Frösunda,29,FP,18,,,
,,Tomas Tobé,M,Anders Borg,39,Fredrik Reinfeldt,189,47,01150103,,,Carl Bildt,16,26,,M,,M,,M,,3 Hammarbacken N,19,M,29,,,
,1,Jan Björklund,FP,Anders Borg,27,Fredrik Reinfeldt,157,76,01150104,,23,Cecilia Wikström,15,16,FP,M,,M,,M,,4 Hammarbacken S,30,FP,20,,,
,1,Jan Björklund,FP,Anders Borg,36,Fredrik Reinfeldt,172,54,01150105,,,Cecilia Wikström,15,24,FP,M,,M,,M,,5 Ormsta N,31,FP,32,,,
,,Tomas Tobé,M,Anders Borg,29,Fredrik Reinfeldt,179,54,01150106,,16,Carl Bildt,16,22,,M,,M,,M,,6 Vallentuna nordöstra,29,M,20,,,
KD,11,Göran Hägglund,KD,Birgitta Olsson,20,Fredrik Reinfeldt,120,117,01150107,16,22,Bodil Ceballos,3,,M,FP,1,MP,FP,M,1,7 Norrgården-Sörgården,36,MP,18,,,
,2,Tomas Tobé,M,Anders Wijkman,30,Fredrik Reinfeldt,127,99,01150108,15,,Cecilia Wikström,12,20,FP,KD,,M,KD,M,2,8 Vallentuna C,33,FP,25,,,
,1,Mats Pertoft,MP,Magdalena Andersson,15,Stefan Löfven,85,159,01150109,20,22,Bodil Ceballos,15,,MP,S,,S,,S,,9 Ormsta S,29,MP,19,,,
,,Tomas Tobé,M,Anders Borg,37,Fredrik Reinfeldt,175,53,01150110,,,Carl Bildt,16,26,,M,,M,,M,,10 Lovisedal,21,M,37,,,
,,Tomas Tobé,M,Anders Borg,40,Fredrik Reinfeldt,184,39,01150111,,,Carl Bildt,16,33,,M,,M,,M,,11 Karlberg,24,M,29,,,
,,Tomas Tobé,M,Anders Borg,32,Fredrik Reinfeldt,175,60,01150112,,,Carl Bildt,16,31,,M,,M,,M,,12 Vada-Angarn-Össeby,31,M,20,,,
,,Tomas Tobé,M,Anders Borg,39,Fredrik Reinfeldt,189,43,01150113,,,Carl Bildt,16,27,,M,,M,,M,,13 Bällsta S,27,M,24,,,
,1,Jan Björklund,FP,Anders Borg,33,Fredrik Reinfeldt,160,70,01150114,,18,Cecilia Wikström,15,21,FP,M,,M,,M,,14 Bällsta V,30,FP,17,,,
,,Tomas Tobé,M,Anders Borg,38,Fredrik Reinfeldt,180,57,01150115,,,Carl Bildt,16,23,,M,,M,,M,,15 Vallentuna sydöstra,25,M,26,,,
,1,Jan Björklund,FP,Anders Borg,28,Fredrik Reinfeldt,157,49,01150116,,19,Cecilia Wikström,15,45,FP,M,,M,,M,,16 Garn,26,FP,25,,,
,1,Tomas Tobé,M,Anders Wijkman,20,Fredrik Reinfeldt,137,60,01150117,14,26,Cecilia Wikström,14,33,FP,KD,,M,KD,M,1,17 Kårsta,39,FP,20,,,
,2,Tomas Tobé,M,Anders Wijkman,30,Fredrik Reinfeldt,128,102,01170201,18,21,Cecilia Wikström,13,,FP,KD,,M,KD,M,1,Berga 1,32,FP,18,,,
,2,Mats Pertoft,MP,Magdalena Andersson,23,Stefan Löfven,93,141,01170202,29,28,Bodil Ceballos,14,,MP,S,,S,,S,,Hacksta 1,35,MP,,,,
,,Tomas Tobé,M,Anders Borg,39,Fredrik Reinfeldt,192,49,01170203,,,Carl Bildt,16,23,,M,,M,,M,,Margretelund 3,20,M,26,,,
,2,Tomas Tobé,M,Anders Wijkman,32,Fredrik Reinfeldt,135,94,01170204,17,16,Cecilia Wikström,12,,FP,KD,,M,KD,M,2,Hacksta 2,30,FP,25,,,
,2,Jan Björklund,FP,Anders Borg,45,Fredrik Reinfeldt,166,63,01170205,,,Cecilia Wikström,14,23,FP,M,,M,,M,,Österskär 1,26,FP,26,,,
,,Tomas Tobé,M,Anders Borg,36,Fredrik Reinfeldt,201,30,01170206,,,Carl Bildt,16,28,,M,,M,,M,,Österskär 2,20,M,34,,,
,,Tomas Tobé,M,Anders Borg,35,Fredrik Reinfeldt,202,38,01170207,,,Carl Bildt,16,26,,M,,M,,M,,Margretelund 1,21,M,27,,,
,2,Jan Björklund,FP,Anders Borg,34,Fredrik Reinfeldt,154,89,01170208,15,,Cecilia Wikström,14,,FP,M,,M,,M,,Margretelund 2,38,FP,19,,,
,2,Jan Björklund,FP,Anders Borg,43,Fredrik Reinfeldt,172,65,01170209,,,Cecilia Wikström,14,27,FP,M,,M,,M,,Smedby,19,FP,23,,,
,2,Jan Björklund,FP,Anders Borg,38,Fredrik Reinfeldt,164,75,01170210,,,Cecilia Wikström,14,23,FP,M,,M,,M,,Skånsta,30,FP,19,,,
,1,Jan Björklund,FP,Anders Borg,33,Fredrik Reinfeldt,158,78,01170211,,,Cecilia Wikström,15,21,FP,M,,M,,M,,Åkerstorp,35,FP,24,,,
,0,Jan Björklund,FP,Anders Borg,22,Fredrik Reinfeldt,156,71,01170212,15,19,Cecilia Wikström,16,23,FP,M,,M,,M,,Roslagskulla-Åsätra,23,FP,20,,,
,,Tomas Tobé,M,Anders Borg,34,Fredrik Reinfeldt,192,37,01170214,,,Carl Bildt,16,26,,M,,M,,M,,Rydbo,33,M,27,,,
,2,Tomas Tobé,M,Anders Wijkman,29,Fredrik Reinfeldt,127,88,01170215,18,17,Cecilia Wikström,12,16,FP,KD,,M,KD,M,2,Berga 2,32,FP,22,,,
,2,Jan Björklund,FP,Anders Borg,36,Fredrik Reinfeldt,157,68,01170216,15,,Cecilia Wikström,14,19,FP,M,,M,,M,,Söra 1,33,FP,21,,,
,,Tomas Tobé,M,Anders Borg,36,Fredrik Reinfeldt,203,40,01170217,,,Carl Bildt,16,23,,M,,M,,M,,Svinninge,27,M,20,,,
,,Tomas Tobé,M,Anders Borg,31,Fredrik Reinfeldt,217,32,01170219,,,Carl Bildt,16,24,,M,,M,,M,,Skärgårdsstad,21,M,24,,,
,2,Jan Björklund,FP,Anders Borg,37,Fredrik Reinfeldt,158,89,01170220,,,Cecilia Wikström,14,15,FP,M,,M,,M,,Söra 2,32,FP,18,,,
,,Tomas Tobé,M,Anders Borg,38,Fredrik Reinfeldt,176,50,01170221,,,Carl Bildt,16,32,,M,,M,,M,,Säby,32,M,21,,,
,,Tomas Tobé,M,Anders Borg,27,Fredrik Reinfeldt,183,50,01170313,,16,Carl Bildt,16,30,,M,,M,,M,,Ljusterö,21,M,22,,,
,,Tomas Tobé,M,Anders Borg,30,Fredrik Reinfeldt,181,53,01200101,,21,Carl Bildt,16,22,,M,,M,,M,,Värmdö 1 Saltarö,25,M,17,,,
,,Tomas Tobé,M,Anders Borg,28,Fredrik Reinfeldt,210,41,01200102,,,Carl Bildt,16,22,,M,,M,,M,,Värmdö 2 Strömma,23,M,25,,,
,0,Jan Björklund,FP,Anders Borg,22,Fredrik Reinfeldt,174,45,01200103,17,15,Cecilia Wikström,16,21,FP,M,,M,,M,,Värmdö 3 Ängsvik,33,FP,22,,,
,1,Jan Björklund,FP,Anders Borg,29,Fredrik Reinfeldt,169,75,01200104,,,Cecilia Wikström,15,20,FP,M,,M,,M,,Värmdö 4 Hemmesta,33,FP,23,,,
,,Tomas Tobé,M,Anders Borg,34,Fredrik Reinfeldt,207,36,01200105,,,Carl Bildt,16,26,,M,,M,,M,,Värmdö 5 Vik,25,M,21,,,
,,Tomas Tobé,M,Anders Borg,28,Fredrik Reinfeldt,178,62,01200106,,19,Carl Bildt,16,20,,M,,M,,M,,Värmdö 6 Kopparmora,21,M,21,,,
,,Tomas Tobé,M,Anders Borg,18,Fredrik Reinfeldt,188,62,01200301,,21,Carl Bildt,16,17,,M,,M,,M,,Djurö 1 Vindö,23,M,20,,,
,,Tomas Tobé,M,Anders Borg,33,Fredrik Reinfeldt,177,55,01200302,,15,Carl Bildt,16,22,,M,,M,,M,,Djurö 2 Djurö,28,M,19,,,
,1,Jan Björklund,FP,Anders Borg,27,Fredrik Reinfeldt,171,48,01200303,,21,Cecilia Wikström,15,25,FP,M,,M,,M,,Djurö 3 Stavsnäs,34,FP,23,,,
,,Tomas Tobé,M,Anders Borg,34,Fredrik Reinfeldt,185,51,01200501,,,Carl Bildt,16,30,,M,,M,,M,,Ingarö 1 Lemshaga,21,M,28,,,
,,Tomas Tobé,M,Anders Borg,29,Fredrik Reinfeldt,187,54,01200502,,,Carl Bildt,16,24,,M,,M,,M,,Ingarö 2 Björkvik,30,M,25,,,
,,Tomas Tobé,M,Anders Borg,29,Fredrik Reinfeldt,206,50,01200503,,,Carl Bildt,16,22,,M,,M,,M,,Ingarö 3 Brunn,23,M,19,,,
,2,Ibrahim Baylan,S,Ulla Andersson,26,Stefan Löfven,107,131,01200601,26,20,Bodil Ceballos,11,,V,V,,S,MP,S,3,Gustavsberg1 Lugnet,39,MP,,,,
KD,11,Göran Hägglund,KD,Birgitta Olsson,27,Fredrik Reinfeldt,116,105,01200602,22,19,Bodil Ceballos,3,,M,FP,0,MP,FP,M,2,Gustavsberg2 Hästhagen,45,MP,15,,,
,2,Ibrahim Baylan,S,Ulla Andersson,18,Stefan Löfven,88,126,01200603,34,27,Bodil Ceballos,11,17,V,V,,S,MP,S,3,Gustavsberg3 Munkmora,39,MP,,,,
C,11,Ulrika Carlsson,C,Birgitta Olsson,23,Fredrik Reinfeldt,127,108,01200604,22,,Bodil Ceballos,3,21,M,FP,1,MP,FP,M,1,Gustavsberg4 Höjdhagen,48,MP,,,,
,10,Tomas Tobé,M,Birgitta Olsson,32,Fredrik Reinfeldt,138,107,01200605,,21,Bodil Ceballos,4,,M,FP,,MP,FP,M,2,Gustavsberg5 HolmviksskogenÖsbydalen,51,MP,,,,
,,Tomas Tobé,M,Anders Borg,29,Fredrik Reinfeldt,197,40,01200606,,,Carl Bildt,16,28,,M,,M,,M,,Gustavsberg6 Yttre,30,M,25,,,
,1,Jan Björklund,FP,Anders Borg,35,Fredrik Reinfeldt,168,59,01200607,,,Cecilia Wikström,15,27,FP,M,,M,,M,,Gustavsberg7 Farsta Slottsvik,38,FP,22,,,
C,2,Ulrika Carlsson,C,Anders Wijkman,27,Fredrik Reinfeldt,117,97,01230201,24,15,Cecilia Wikström,12,15,FP,KD,1,M,KD,M,1,1 Norra Barkarby,37,FP,17,,,
,2,Jan Björklund,FP,Anders Borg,38,Fredrik Reinfeldt,163,52,01230202,,21,Cecilia Wikström,14,23,FP,M,,M,,M,,2 Södra Barkarby,23,FP,29,,,
,,Tomas Tobé,M,Anders Borg,35,Fredrik Reinfeldt,192,62,01230203,,,Carl Bildt,16,19,,M,,M,,M,,4 Skälby Gård Västra,24,M,17,,,
,1,Jan Björklund,FP,Anders Borg,34,Fredrik Reinfeldt,162,77,01230204,,15,Cecilia Wikström,15,15,FP,M,,M,,M,,5 Orgona,28,FP,18,,,
,,Tomas Tobé,M,Anders Borg,38,Fredrik Reinfeldt,176,69,01230205,,,Carl Bildt,16,18,,M,,M,,M,,6 Neptuni,27,M,21,,,
,,Tomas Tobé,M,Anders Borg,34,Fredrik Reinfeldt,195,32,01230206,,18,Carl Bildt,16,15,,M,,M,,M,,3 Skälby Gård Östra,24,M,31,,,
,2,Jan Björklund,FP,Anders Borg,45,Fredrik Reinfeldt,162,88,01230306,,,Cecilia Wikström,14,,FP,M,,M,,M,,7 Fjällen,31,FP,23,,,
,2,Jan Björklund,FP,Anders Borg,37,Fredrik Reinfeldt,152,79,01230307,,17,Cecilia Wikström,14,16,FP,M,,M,,M,,8 Sandvik,27,FP,21,,,
,2,Jan Björklund,FP,Anders Borg,32,Fredrik Reinfeldt,148,80,01230308,18,17,Cecilia Wikström,14,,FP,M,,M,,M,,9 Hummelmora,25,FP,29,,,
,2,Jan Björklund,FP,Anders Borg,38,Fredrik Reinfeldt,158,92,01230309,,,Cecilia Wikström,14,17,FP,M,,M,,M,,10 Centrala Viksjö Södra,24,FP,20,,,
,2,Jan Björklund,FP,Anders Borg,40,Fredrik Reinfeldt,148,75,01230310,,19,Cecilia Wikström,14,19,FP,M,,M,,M,,11 Lund,21,FP,27,,,
,2,Jan Björklund,FP,Anders Borg,46,Fredrik Reinfeldt,160,62,01230311,,,Cecilia Wikström,14,25,FP,M,,M,,M,,12 Fastebol,27,FP,29,,,
FP,1,Rossana Dinamarca,V,Birgitta Olsson,31,Stefan Löfven,117,125,01230312,19,30,Bodil Ceballos,11,,V,FP,2,S,MP,S,2,13 Centrala Viksjö Norra,27,MP,,,,
,2,Jan Björklund,FP,Anders Borg,41,Fredrik Reinfeldt,163,68,01230313,,,Cecilia Wikström,14,20,FP,M,,M,,M,,14 Högby,28,FP,29,,,
,,Ibrahim Baylan,S,Magdalena Andersson,,Stefan Löfven,52,205,01230413,41,19,Jan Eliasson,16,,,S,,S,,S,,20 Tallbohov,32,S,,,,
,,Tomas Tobé,M,Anders Borg,41,Fredrik Reinfeldt,185,51,01230414,,,Carl Bildt,16,18,,M,,M,,M,,15 Olovslund,17,M,37,,,
,3,Tomas Tobé,M,Anders Wijkman,33,Fredrik Reinfeldt,118,103,01230415,20,19,Cecilia Wikström,11,,FP,KD,,M,KD,M,2,16 Vibblaby,32,FP,24,,,
C,3,Ulrika Carlsson,C,Anders Wijkman,35,Fredrik Reinfeldt,107,93,01230416,20,23,Cecilia Wikström,11,16,FP,KD,1,M,KD,M,1,17 Västerby,38,FP,17,,,
,,Tomas Tobé,M,Anders Borg,36,Fredrik Reinfeldt,182,53,01230417,,,Carl Bildt,16,26,,M,,M,,M,,18 Grönvreten,21,M,31,,,
