META,CODE,Lt_kod,Lt_namn,KommunKod,KommunNamn,Valdistrikt_namn,Röstberättigade totalt,Röstberättigade utländska medborgarskap,Valdeltagande,Moderaterna,Centerpartiet,Folkpartiet,Kristdemokraterna,Miljöpartiet,Socialdemokraterna,Vänsterpartiet,Sverigedemokraterna,Övriga partier,Block Alliansen,Block Rödgröna,Andel 18-29 år ,Andel 30-49 år,Andel 50-64 år,Andel 65- år,Andel utrikes födda,Andel med eftergymnasial utbildning,Medianinkomst
,05090101,05,Östergötlands läns landsting,0509,Ödeshög,Holaveden,651,31,76,22.2,20.7,2.1,17.5,4.7,22,4.5,3.5,2.9,62.4,31.2,14.7,30.1,30.4,24.7,6.3,20.9,200000
,05090201,05,Östergötlands läns landsting,0509,Ödeshög,Fridtjuv Berg,1299,53,79.6,17.6,10.2,2.6,15,6.9,38.1,3.1,4.4,2.1,45.4,48.1,14.9,26.8,24.9,33.4,7.9,13.3,188000
,05090202,05,Östergötlands läns landsting,0509,Ödeshög,Lysing,1268,35,76.7,17.4,9.1,5.1,16.9,7.4,35.9,2.7,3.2,2.3,48.5,46,14,27.6,25.1,33.3,6.6,15.1,196000
,05090301,05,Östergötlands läns landsting,0509,Ödeshög,Alvastra,1036,21,78.3,28.9,18.7,4,8.8,7.1,23.6,4.3,3.2,1.4,60.4,35,14.3,29.2,33.1,23.4,4.6,21.9,196000
,05120101,05,Östergötlands läns landsting,0512,Ydre,Torpa,753,18,89.5,18.4,21.9,4.6,9.7,5.2,33.4,2.1,4.1,0.5,54.6,40.8,15.3,30.3,28.3,26.2,4.4,22.6,222000
,05120201,05,Östergötlands läns landsting,0512,Ydre,Asby,427,8,84.8,22,26.2,3.9,11.8,6.5,22.3,1.7,4.5,1.1,63.9,30.4,13.3,25.8,28.3,32.6,4.2,17,190000
,05120301,05,Östergötlands läns landsting,0512,Ydre,Sund-Svinhult-Norra Vi,1263,35,83.8,22.3,18.8,4.2,8.6,3,36,2.2,4.3,0.6,53.9,41.3,15.7,23,26.3,35.1,7.8,19.1,205000
,05120401,05,Östergötlands läns landsting,0512,Ydre,Västra Ryd,544,30,84,20.9,20.6,7,13.6,6.6,24,2.5,2.5,2.3,62.1,33.1,14,27.6,32.4,26.1,6.6,20.3,208000
,05130201,05,Östergötlands läns landsting,0513,Kinda,Kisa samhälle,1297,31,75.6,18.3,12.4,3.2,6,3.7,45.9,4.1,4.3,2.1,39.9,53.7,15.2,27.5,22.4,34.9,5.1,16.7,214000
,05130202,05,Östergötlands läns landsting,0513,Kinda,Kisa västra,1293,42,78.7,16.7,18.3,2.9,5.9,3.9,39.7,4.2,5.6,2.7,43.8,47.9,16.7,27.8,22.2,33.3,7.5,13.8,203000
,05130203,05,Östergötlands läns landsting,0513,Kinda,Kisa sydöstra,1307,31,76.4,18.4,18.4,3.9,6.7,5.9,34.1,5.1,5.3,2.3,47.3,45.1,16.3,25.3,26.6,31.8,5.5,16.9,188000
,05130401,05,Östergötlands läns landsting,0513,Kinda,Horn-Hycklinge-Björkfors,1273,29,77.5,18,34.6,1.8,5.6,10,22.9,3.2,2.7,1.2,59.9,36.1,10,22.3,33.3,34.4,4.3,18.9,196000
,05130901,05,Östergötlands läns landsting,0513,Kinda,Rimforsa landsbygd,1562,23,77.6,23.6,18.1,6.8,7.8,7.5,25.6,6.5,2.6,1.5,56.3,39.5,13.5,37.6,28,20.8,3.2,30,231000
,05130902,05,Östergötlands läns landsting,0513,Kinda,Rimforsa samhälle,1025,14,82.6,18,8.5,7.4,9.4,11.2,34.1,6.3,2.9,2.2,43.3,51.6,18.3,32.8,24.1,24.8,3.9,29.3,213000
,05600201,05,Östergötlands läns landsting,0560,Boxholm,Boxholm 2,1499,30,83.1,18.1,6.7,3.7,6.2,2.3,54,4.5,3,1.5,34.7,60.8,12.4,24,28.7,34.9,4.2,14.4,208000
,05600202,05,Östergötlands läns landsting,0560,Boxholm,Boxholm 1,1615,46,82.2,12.6,5.4,2.7,6,3.8,57.7,6,4.1,1.7,26.7,67.5,17,32.9,23.8,26.2,6.1,12.8,216000
,05600401,05,Östergötlands läns landsting,0560,Boxholm,Boxholm 3,1100,11,86.4,18.2,21.2,2.7,9.5,6,33.9,3.7,3.2,1.7,51.5,43.6,15.6,29.7,32.2,22.5,3.2,19.9,219000
,05610101,05,Östergötlands läns landsting,0561,Åtvidaberg,Villahagen,1384,20,88.5,21.8,4.2,4.5,6.3,4.8,51.4,2.9,2.1,2.1,36.8,59.1,13.5,37.3,25.9,23.3,4.2,21.7,246000
,05610102,05,Östergötlands läns landsting,0561,Åtvidaberg,Edberga,1144,21,84.1,27.2,6.7,5.5,5.2,3.8,45,2.9,1.9,1.7,44.7,51.7,12.2,23.8,25.2,38.9,4.6,21.5,200000
,05610103,05,Östergötlands läns landsting,0561,Åtvidaberg,Eksätter,1233,37,78,14.8,5,2.1,2.4,3.5,60.4,5.8,3.9,2.3,24.2,69.6,16,30.3,23.8,29.9,6,10.1,191000
,05610105,05,Östergötlands läns landsting,0561,Åtvidaberg,Djurgården,1125,10,78,18.4,4,3.3,4.4,4.4,55.8,3.2,4.4,2,30.2,63.4,14.7,23.3,21.6,40.4,4.4,13.5,190000
,05610106,05,Östergötlands läns landsting,0561,Åtvidaberg,Nygård,1203,19,83.9,20.7,4.1,4.6,4.7,5,51.5,3.9,2.3,3.1,34.2,60.5,12.8,26.2,26.4,34.7,5.7,15.7,207000
,05610201,05,Östergötlands läns landsting,0561,Åtvidaberg,Grebo-Värna,1249,17,85.1,30.3,9.2,5.6,5.5,4.4,34.5,3.2,4.1,3.3,50.6,42.1,14.1,41.6,26.7,17.7,3.6,26.7,248000
,05610401,05,Östergötlands läns landsting,0561,Åtvidaberg,Björsäter-Yxnerum,735,11,84.9,28.4,13.8,5.5,4,3.5,34.7,3.3,3.2,3.8,51.6,41.5,11,34.4,29.1,25.4,3.5,20.5,219000
,05610601,05,Östergötlands läns landsting,0561,Åtvidaberg,Hannäs,406,6,77.1,14.5,34.7,2.3,3.3,1.7,33.3,2,5.6,2.6,54.8,37,15.5,25.6,32.3,26.6,3.7,8.2,179000
,05610701,05,Östergötlands läns landsting,0561,Åtvidaberg,Gärdserum,580,10,82.2,19.1,17.6,1.3,4.3,4.3,41.9,5.2,3.9,2.4,42.3,51.4,13.1,29,31.2,26.7,4.9,14.5,191000
